"Titles
(Internal only)",Competency,SDE1,SDE 2,SDE 3,SDE 4,SDE 5,SDE 6,SDE 7
"Promotion criteria
",,,"Nominee for promotion must demonstrate the ability to perform at the next level for a minimum of 6 months, potentially longer for senior levels (L4+).","Nominee for promotion must demonstrate the ability to perform at the next level for a minimum of 6 months, potentially longer for senior levels (L4+).","Nominee for promotion must demonstrate the ability to perform at the next level for a minimum of 6 months, potentially longer for senior levels (L4+).","Nominee for promotion must demonstrate the ability to perform at the next level for a minimum of 6 months, potentially longer for senior levels (L4+).","Nominees for promotion must demonstrate the ability to perform at the next level for a minimum of 6 months, potentially longer for senior levels (L4+).

Promotions to this level are reviewed and must be approved by the Executive team.","Nominee for promotion must demonstrate the ability to perform at the next level for a minimum of 6 months, potentially longer for senior levels (L4+).

Promotions to this level are reviewed and must be approved by the Executive team."
"Impact
measurable affect (output) on Grammarly's business",Design,Capable of making small contributions to a single component of the overall architecture with guidance.,Capable of making incremental contributions to a single component of the overall architecture.,Capable of making contributions to multiple components of the overall architecture. Contributes to design decisions across their team.,Capable of designing and implementing significant changes to multiple components. Capable of leading design discussions.,Capable of designing and implementing new systems from ground up. Relied upon by other teams for feedback on design decisions.,Identifies new high level systems to meet strategic objectives and influences leadership to pursue their proposed solutions. Drives the process of gathering feedback across the team to ensure solutions serve the broader group vs. individual team.,
,Hiring,"Learning to be an effective interviewer, primarily shadows other interviewers.","Learning to be an effective interviewer, can interview new grads.",Proficient and effective interviewer. Exercises good judgment in technical interviews.,Effective interviewer for experienced candidates. Helps in closing senior candidates.,"Thinks strategically about scaling their team, attracts hard-to-get senior candidates.","Thinks strategically about scaling teams, builds effective interview processes, and advises on effective organizational structures for engineering.",Effective interviewer for senior engineering and company leadership.
,Oncall,Building the skillset and knowledge to be the primary oncall engineer for their team. ,"Capable of being primary oncall engineer, handle small live-site issues and resolve minor issues independently; knows when to pull in others for help. ",Capable of resolving most problems independently. Able to identify next steps in an incident postmortem. ,Able to independently handle most outages or live-site issues for systems they work on. ,Able to independently handle outages and live-site issues of any magnitude. ,"Proposes tooling, technology or architectural changes to reduce outages and increase stability of services. ",
,"Breadth of impact (Magnitude)
Breadth of impact= <Impact of IC inside the team>*<impact of the product>",Overall impact is limited to a sub-set of their team.,Overall impact is limited to their team.,Overall impact is limited to one or two teams.,Overall impact spans multiple teams.,Impacts engineering-wide goals and objectives.,Impacts company-level goals and enables roadmaps across multiple functions.,Has an outward-facing role and contributes to engineering and company branding.
"Autonomy
scope of work for which an individual is primarily responsibile","Estimation, Decomposition, Requirements",Capable of estimating and prioritizing small tasks with supervision.,Capable of accurately estimating and prioritizing small tasks with minimal supervision.,"Capable of accurately estimating and prioritizing medium-sized tasks with minimal supervision. Able to weigh in and provide guidance to other's estimates, able to identify and flag dependencies and risks.  ",Capable of accurately estimating and prioritizing tasks (any size) without supervision. Capable of coming up with mitigation plans for shifts in project estimates and execution risks. ,Capable of accurately estimating and prioritizing tasks across a large project without supervision. Can come up with project-level estimates for projects of any size. ,"Capable of estimating large projects in more efficient ways that reduce the time to completion and the number of resources required to complete.

Can recognize and mitigate against risk at the eng-wide and company level.",
,"Competency, Knowledge",Asks for help when stuck and is still learning to pattern match solutions to technical problems.,Asks for help when stuck and rarely asks the same question again.,Proactively identifies gaps in their own domain expertise and works on filling in gaps.,Proactively identifies gaps in expertise with others on the team and plays an active role in mentoring others.,"Spends significant amount of time mentoring and helping other engineers be successful through 1:1's, talks, presentations, or writing documentation.",Exemplary at mentoring senior engineers and at coaching other engineers to be effective mentors.,
,Leadership,Building the ability to lead small projects. Capable of shipping changes to production systems with supervision.,Capable of leading small projects with some guidance. Able to ship changes to production systems with minimal supervision.,"Able to lead small projects. Able to ship changes to production systems without any supervision. Wraps things up cleanly post-launch (testing, scaling, bug-fixes etc). ",Able to lead medium-size projects. Can own critical systems with occasional guidance.,Able to lead projects of any size. Can own critical systems independently. ,Leads major long-term technical efforts that provide the company a significant technical advantage. ,Proposes and leads major long-term technical efforts that allow the company to successfully expand into new domains or markets.
,Initiative and ownership,Shows initiative and ownership on their tasks. ,"Shows initiative and ownership on their tasks, helps others to do the same.  ",Ensures initiative and ownership from others across any project they're on. ,Sets the bar for initiative and ownership for any project they're on. ,Exercises strong judgment on their team's priorities and balances cost versus customer benefit. ,"Exercises strong judgment on the the engineering team's priorities, and influences overall Grammarly strategy.",
"Skills and Knowledge
domain-specific expertise and capabilities",Technical knowledge,"Learning to use existing tools, resources and processes effectively. ","Familiar with existing tools, resources and processes. Can be relied upon to learn new tools on their own. ","Proficient with existing tools, resources and processes. Mentors new team members on tools. ","Expert level knowledge on existing tools, resources and processes. Identifies gaps in tools and proposes alternatives.",Proactively identifies gaps in processes and proposes alternatives. ,Responsible for making technical choices that don't have an obvious answer and whose consequences have a large effect across the organization,
,Code Quality,Learning to write code that works well.,Writes code that works well. Some guidance required for addressing feedback in their medium(+) sized code reviews. ,"Writes code that is maintainable, well tested and rarely requires significant modifications. ","Sets a high bar on writing good, maintainable code within their team. ","Continually raises the bar on writing good, maintainable code. Strong advocate for coding style and maintainability. ","Acknowledged leader across the company in terms of engineering contributions, coding skill, and architecture. ","Acknowledged leader in industry in terms of engineering contributions, coding skill and architecture. "
,Code Review,Learning to review code written by others on the team. ,Does effective code reviews for medium(+) size code reviews on their team.,Does effective code reviews for any size code reviews on their team. ,"Effective code reviewer, and an effective mentor for others on coding best practises. Able to hold a high bar for code reviews on their team. ",Able to review critical code changes that can significantly impact users or business metrics. ,Reviews code for the most business-critical and complex areas. Is a significant contributor to the architectural designs for multiple teams and is comfortable operating in large complex codebases that have intricate dependencies.,
,Domain Expertise,Good computer science fundamentals but with some gaps.,Strong computer science fundamentals. Developing domain expertise on one or more technology areas. ,Strong domain expertise on one or more technology areas.,Significant domain expertise on one or more technology areas and is effective at providing feedback to others on their team on their areas of expertise. ,Expert-level domain expertise on one or more technology areas and is effective at providing feedback to teams across the company on their areas of expertise. ,Can represent the company externally as a domain expert. ,Acknowledged domain expert in industry.
,Communication,Learning to articulate technical concepts and problems effectively.,Clearly articulates medium-sized problems and solutions. Participates in technical discussions of projects on their team.,Clearly articulates architectural issues on their team. Participates in technical discussions of projects impacting one or two teams. May give talks in their areas of expertise internally.,Authors design documents and leads technical discussions for projects impacting multiple teams. Gives talks and presentations internally.,Authors design documents and leads discussions for architectural projects impacting many teams. Gives talks and presentations at conferences.,Authors engineering-wide project design documents. Effective at representing the company externally on technical topics. ,
"Ownership
for Grammarly's overall success, expressed as informed, involved, invested
        ",Informed,"Uses Grammarly's products. Proactively expands foundational knowledge of their role, customers, and Grammarly.","Proactively expands knowledge of their role and customers, and shares it with others. ",Proactively expands knowledge of their team and Grammarly's users. Contributes an informed point of view on what needs to be done and why.,Proactively expands knowledge of their function and other teams they interact with (within or outside their function). Contributes expertise to functional decisions and projects impacting multiple teams. Understands in detail how their function impacts Grammarly's users. ,Expands knowledge of teams outside their function and proactively thinks about ways to improve/enchance cross-functional integration.,"Demonstrates broad knowledge of Grammarly (customers, organizational strengths and capabilities) and significantly contributes to roadmaps across multiple functions. ",Demonstrates knowledge of potential customers and industry and functional trends to identify opportunities for Grammarly.
,Involved,"Shows initiative and meets task-based commitments on time. Has a positive, can-do attitude. ",Delivers routine work end-to-end with consistent high quality while showing initiative for incremental improvements. Assumes responsiblity and doesn't make excuses. ,"Sets the bar for individual productivity and ensures initiative and ownership from others. Provides proposed solutions when raising issues and models direct, open, and trusting communication. ","Grows the productivity of their team via coaching and being a trusted knowledge source. Effectively prioritizes to get significant, complex, and hard things done. Contributes to teamwork, collaboration, and morale on their team. No ego-based decisions. ",Drives delivery on multiple complex projects and/or large tasks simultaneously. Builds cohesion across their team around direction and decisions and unblocks the work of their team when faced with significant challenges.,Drives cross-functional productivity by proposing effective new directions or shifts in strategy and driving cross-functional communication. Effective with diverse styles and roles. A role model in times of challenge and overcoming obstacles.,Drives companywide productivity by developing and aligning around new strategies. Serves as a companywide spokesperson. Delivers innovative contributions by turning experimential ideas into reality.
